date,total,male,female,age_0,age_10,age_20,age_30,age_40,age_50,age_60,age_70,age_80
2020-01-20,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,2,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,2,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,3,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,4,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,4,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,4,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,6,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,11,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,15,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,15,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,16,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,18,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,23,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,24,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,24,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,27,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,27,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,29,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,30,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,31,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,51,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,104,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,204,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,433,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,602,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,833,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,977,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,1261,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,1766,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,2337,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,3150,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,3736,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,4212,1591,2621,32,169,1235,506,633,834,530,192,81
2020-03-03,4812,1810,3002,34,204,1417,578,713,952,597,224,93
2020-03-04,5328,1996,3332,34,233,1575,631,790,1051,646,260,108
2020-03-05,5766,2149,3617,38,257,1727,659,847,1127,699,288,124
2020-03-06,6284,2345,3939,45,292,1877,693,889,1217,763,340,168
2020-03-07,6767,2522,4245,52,327,2038,727,941,1287,830,384,191
2020-03-08,7134,2694,4440,58,360,2133,760,975,1349,878,409,212
2020-03-09,7382,2799,4583,66,381,2190,779,1005,1391,916,438,216
2020-03-10,7513,2852,4661,67,393,2213,789,1030,1416,929,454,222
2020-03-11,7755,2947,4808,75,405,2238,804,1082,1472,960,483,236
2020-03-12,7869,2994,4875,76,412,2261,812,1101,1495,972,497,243
2020-03-13,7979,3043,4936,77,421,2274,823,1117,1523,985,506,253
2020-03-14,8086,3100,4986,81,424,2287,833,1133,1551,999,515,263
2020-03-15,8126,3136,5026,83,427,2301,842,1141,1568,1012,525,263
2020-03-16,8236,3169,5067,85,432,2313,849,1147,1585,1024,531,270
2020-03-17,8320,3200,5120,86,436,2330,856,1164,1602,1033,539,274
2020-03-18,8413,3240,5173,87,438,2342,873,1171,1615,1059,542,286
2020-03-19,8565,3296,5269,91,444,2358,886,1181,1642,1080,562,321
2020-03-20,8652,3330,5322,97,452,2365,893,1193,1656,1099,568,329
2020-03-21,8799,3387,5412,99,457,2380,900,1203,1672,1118,589,381
2020-03-22,8897,3430,5467,101,460,2396,909,1221,1691,1132,595,392
2020-03-23,8961,3457,5504,103,460,2417,917,1228,1702,1139,599,396
2020-03-24,9037,3497,5540,105,468,2438,921,1234,1716,1146,608,401
2020-03-25,9137,3550,5587,105,475,2473,943,1246,1724,1154,611,406
2020-03-26,9241,3598,5643,106,488,2508,955,1252,1738,1162,616,416
2020-03-27,9332,3638,5694,108,496,2532,960,1256,1752,1170,630,428
2020-03-28,9478,3736,5742,109,501,2567,978,1278,1780,1201,632,432
2020-03-29,9583,3799,5784,111,508,2602,993,1292,1798,1210,635,434
2020-03-30,9661,3834,5827,112,513,2630,1002,1297,1812,1218,640,437
2020-03-31,9786,3905,5881,112,515,2656,1012,1312,1851,1235,651,442
2020-04-01,9887,3946,5941,116,519,2682,1027,1323,1865,1245,658,452
2020-04-02,9976,3979,5997,119,522,2704,1043,1336,1878,1258,663,453
2020-04-03,10062,4013,6049,121,528,2734,1052,1350,1887,1266,668,456
2020-04-04,10156,4052,6104,122,530,2761,1066,1358,1898,1282,678,461
2020-04-05,10237,4098,6139,124,535,2789,1083,1370,1904,1289,681,462
2020-04-06,10284,4118,6166,126,542,2804,1086,1375,1906,1294,686,465
2020-04-07,10331,4138,6193,126,544,2819,1092,1382,1909,1304,689,466
2020-04-08,10384,4163,6221,126,548,2832,1102,1387,1915,1312,692,470
2020-04-09,10423,4185,6238,128,552,2844,1109,1394,1917,1314,692,473
2020-04-10,10450,4200,6250,129,553,2851,1113,1396,1920,1320,694,474
2020-04-11,10480,4215,6265,130,558,2856,1115,1399,1926,1327,694,475
2020-04-12,10512,4229,6283,130,561,2869,1120,1400,1930,1330,697,475
2020-04-13,10537,4243,6294,132,562,2879,1122,1401,1932,1335,698,476
2020-04-14,10564,4256,6308,132,565,2886,1126,1405,1935,1338,700,477
2020-04-15,10591,4266,6325,132,569,2895,1131,1408,1937,1339,702,478
2020-04-16,10613,4272,6341,135,572,2900,1132,1410,1940,1341,703,480
2020-04-17,10635,4286,6349,136,576,2909,1135,1411,1942,1342,704,480
2020-04-18,10653,4293,6360,138,576,2918,1136,1412,1944,1343,705,481
