date,total,male,female,age_0,age_10,age_20,age_30,age_40,age_50,age_60,age_70,age_80
2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,2,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,2,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,6,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,8,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,13,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,13,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,17,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,18,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,22,13,9,0,0,0,1,1,5,6,6,3
2020-03-03,28,16,12,0,0,0,1,1,5,7,9,5
2020-03-04,32,20,12,0,0,0,1,1,5,7,12,6
2020-03-05,35,21,14,0,0,0,1,1,5,8,13,7
2020-03-06,42,25,17,0,0,0,1,1,5,11,14,10
2020-03-07,44,26,18,0,0,0,1,1,5,11,14,12
2020-03-08,50,29,20,0,0,0,1,1,5,11,18,14
2020-03-09,51,31,20,0,0,0,1,1,5,12,18,14
2020-03-10,54,33,21,0,0,0,1,1,5,13,19,15
2020-03-11,60,35,25,0,0,0,1,1,6,14,21,17
2020-03-12,66,38,28,0,0,0,1,1,6,14,24,20
2020-03-13,67,39,28,0,0,0,1,1,6,14,24,21
2020-03-14,72,41,31,0,0,0,1,1,6,14,27,23
2020-03-15,75,41,34,0,0,0,1,1,6,14,28,25
2020-03-16,75,41,34,0,0,0,1,1,6,14,28,25
2020-03-17,81,44,37,0,0,0,1,1,6,16,29,28
2020-03-18,84,45,39,0,0,0,1,1,6,16,29,31
2020-03-19,91,49,42,0,0,0,1,1,7,17,34,31
2020-03-20,94,51,43,0,0,0,1,1,7,17,35,33
2020-03-21,102,54,48,0,0,0,1,1,7,17,37,39
2020-03-22,104,55,49,0,0,0,1,1,7,17,37,41
2020-03-23,111,58,53,0,0,0,1,1,7,18,38,46
2020-03-24,120,60,60,0,0,0,1,1,8,20,38,52
2020-03-25,126,64,62,0,0,0,1,1,10,20,39,55
2020-03-26,131,68,63,0,0,0,1,1,10,20,41,58
2020-03-27,139,75,64,0,0,0,1,1,10,21,41,65
2020-03-28,144,77,67,0,0,0,1,1,10,21,41,70
2020-03-29,152,78,74,0,0,0,1,1,10,21,43,76
2020-03-30,158,80,78,0,0,0,1,1,10,21,45,80
