index,origin_name,origin_lat,origin_lon,dest_name,dest_lat,dest_lon,count
0,Seoul,37.5666791,126.9782914,Seoul,37.5666791,126.9782914,133.0
1,Daejeon,36.3496,127.3848,Seoul,37.5666791,126.9782914,1.0
2,Gyeonggi-do,37.2752,127.0095,Seoul,37.5666791,126.9782914,1.0
3,Ulsan,35.5391697,129.3119136,Seoul,37.5666791,126.9782914,1.0
4,Busan,35.1799528,129.0752365,Busan,35.1799528,129.0752365,31.0
5,Gyeongsangnam-do,35.2382,128.6925,Busan,35.1799528,129.0752365,1.0
6,Daegu,35.8713,128.6018,Daegu,35.8713,128.6018,8.0
7,Daejeon,36.3496,127.3848,Daegu,35.8713,128.6018,1.0
8,Gwangju,35.1595775,126.8515089,Gwangju,35.1595775,126.8515089,18.0
9,Incheon,37.456,126.7052,Incheon,37.456,126.7052,147.0
10,Daejeon,36.3496,127.3848,Daejeon,36.3496,127.3848,48.0
11,Daegu,35.8713,128.6018,Daejeon,36.3496,127.3848,1.0
12,Chungcheongnam-do,36.6593,126.6729,Daejeon,36.3496,127.3848,2.0
13,Jeollabuk-do,35.8198999,127.109,Daejeon,36.3496,127.3848,1.0
14,Daejeon,36.3496,127.3848,Gyeonggi-do,37.2752,127.0095,4.0
15,Daejeon,36.3496,127.3848,Sejong,36.4799999,127.289,2.0
16,Daegu,35.8713,128.6018,Ulsan,35.5391697,129.3119136,1.0
17,Ulsan,35.5391697,129.3119136,Ulsan,35.5391697,129.3119136,11.0
18,Gyeongsangbuk-do,36.5754,128.5058,Ulsan,35.5391697,129.3119136,1.0
19,Sejong,36.4799999,127.289,Sejong,36.4799999,127.289,12.0
20,Gyeonggi-do,37.2752,127.0095,Gyeonggi-do,37.2752,127.0095,486.0
21,Daegu,35.8713,128.6018,Gyeonggi-do,37.2752,127.0095,4.0
22,Seoul,37.5666791,126.9782914,Gyeonggi-do,37.2752,127.0095,110.0
23,Busan,35.1799528,129.0752365,Gyeonggi-do,37.2752,127.0095,1.0
24,Incheon,37.456,126.7052,Gyeonggi-do,37.2752,127.0095,30.0
25,Chungcheongbuk-do,36.6357,127.4915,Chungcheongbuk-do,36.6357,127.4915,8.0
26,Chungcheongnam-do,36.6593,126.6729,Chungcheongnam-do,36.6593,126.6729,117.0
27,Gyeonggi-do,37.2752,127.0095,Chungcheongnam-do,36.6593,126.6729,2.0
28,Gyeongsangnam-do,35.2382,128.6925,Chungcheongnam-do,36.6593,126.6729,1.0
29,Seoul,37.5666791,126.9782914,Chungcheongnam-do,36.6593,126.6729,1.0
30,Daejeon,36.3496,127.3848,Chungcheongnam-do,36.6593,126.6729,4.0
31,Sejong,36.4799999,127.289,Chungcheongnam-do,36.6593,126.6729,1.0
32,Jeollabuk-do,35.8198999,127.109,Jeollabuk-do,35.8198999,127.109,2.0
33,Gwangju,35.1595775,126.8515089,Jeollabuk-do,35.8198999,127.109,2.0
34,Daejeon,36.3496,127.3848,Jeollabuk-do,35.8198999,127.109,1.0
35,Gwangju,35.1595775,126.8515089,Jeollanam-do,34.8159,126.4629,2.0
36,Ulsan,35.5391697,129.3119136,Jeollanam-do,34.8159,126.4629,1.0
37,Daegu,35.8713,128.6018,Gyeongsangbuk-do,36.5754,128.5058,4.0
38,Gyeongsangbuk-do,36.5754,128.5058,Gyeongsangbuk-do,36.5754,128.5058,97.0
39,Gyeongsangnam-do,35.2382,128.6925,Gyeongsangnam-do,35.2382,128.6925,32.0
40,Daegu,35.8713,128.6018,Gyeongsangnam-do,35.2382,128.6925,1.0
41,Gyeongsangbuk-do,36.5754,128.5058,Gyeongsangnam-do,35.2382,128.6925,1.0
42,Jeju-do,33.3939924,126.5626653,Jeju-do,33.3939924,126.5626653,1.0
