date,time,province,confirmed,released,deceased
2020-06-30,0,Seoul,1312,985,7
2020-06-30,0,Busan,154,142,3
2020-06-30,0,Daegu,6906,6700,189
2020-06-30,0,Incheon,341,290,1
2020-06-30,0,Gwangju,44,32,0
2020-06-30,0,Daejeon,117,44,1
2020-06-30,0,Ulsan,55,50,1
2020-06-30,0,Sejong,50,47,0
2020-06-30,0,Gyeonggi-do,1207,931,23
2020-06-30,0,Gangwon-do,65,54,3
2020-06-30,0,Chungcheongbuk-do,65,60,0
2020-06-30,0,Chungcheongnam-do,167,150,0
2020-06-30,0,Jeollabuk-do,27,21,0
2020-06-30,0,Jeollanam-do,24,19,0
2020-06-30,0,Gyeongsangbuk-do,1389,1328,54
2020-06-30,0,Gyeongsangnam-do,134,128,0
2020-06-30,0,Jeju-do,19,16,0
